ZIP,LAT,LNG,City
90810,33.819814,-118.222416,Long Beach
90813,33.782259,-118.196793,Long Beach
90814,33.771616,-118.143631,Long Beach
90815,33.794348,-118.116391,Long Beach
90822,33.778436,-118.118648,Long Beach
90831,33.768334,-118.201636,Long Beach
91001,34.194489,-118.138263,Altadena
91006,34.136258,-118.026704,Arcadia
91007,34.128284,-118.047732,Arcadia
91008,34.153159,-117.968818,Bradbury
91010,34.141586,-117.957627,Duarte
91011,34.222119,-118.205306,La Cañada Flintridge
91016,34.152800,-118.000482,Monrovia
91024,34.168771,-118.050216,Sierra Madre
91030,34.108957,-118.156615,South Pasadena
91042,34.322618,-118.237570,Tujunga
91101,34.146671,-118.139455,Pasadena
91103,34.169538,-118.164941,Pasadena
91104,34.165356,-118.123751,Pasadena
91105,34.139460,-118.166649,Pasadena
91106,34.139402,-118.128658,Pasadena
91107,34.155533,-118.086178,Pasadena
91108,34.122671,-118.112911,San Marino
91201,34.170510,-118.289463,Glendale
91202,34.168366,-118.267771,Glendale
91203,34.153338,-118.262974,Glendale
91204,34.136194,-118.260934,Glendale
91205,34.136580,-118.245839,Glendale
91206,34.160359,-118.213769,Glendale
91207,34.181293,-118.260277,Glendale
91208,34.185666,-118.239494,Glendale
91210,34.144557,-118.256507,Glendale
91301,34.123286,-118.758541,Agoura Hills
91302,34.123305,-118.671025,Calabasas
91316,34.160236,-118.515472,Encino
91320,34.175969,-118.945127,Newbury Park
91326,34.281486,-118.556005,Porter Ranch
91340,34.286687,-118.435080,San Fernando
91343,34.237912,-118.482306,North Hills
91350,34.440891,-118.501747,Santa Clarita
91351,34.441596,-118.448109,Canyon Country
91354,34.465755,-118.553789,Valencia
91355,34.439855,-118.644401,Valencia
91356,34.155097,-118.547553,Los Angeles
91360,34.212805,-118.882179,Thousand Oaks
91361,34.136077,-118.888919,Westlake Village
91362,34.193326,-118.818684,Thousand Oaks
91367,34.177311,-118.615704,Los Angeles
91377,34.184975,-118.766918,Oak Park
91381,34.384697,-118.647244,Stevenson Ranch
91384,34.506627,-118.699048,Castaic
91387,34.402509,-118.363427,Canyon Country
91390,34.545587,-118.420095,Santa Clarita
91401,34.178483,-118.431791,Van Nuys
91403,34.147149,-118.463365,Sherman Oaks
91405,34.199824,-118.447609,Van Nuys
91406,34.195685,-118.490752,Van Nuys
91411,34.178522,-118.459234,Van Nuys
91423,34.148617,-118.433298,Sherman Oaks
91436,34.149588,-118.489708,Encino
91501,34.204400,-118.287527,Burbank
91502,34.176817,-118.309323,Burbank
91504,34.204568,-118.326365,Burbank
91505,34.173885,-118.346937,Burbank
91506,34.169706,-118.323548,Burbank
91601,34.169200,-118.372498,Los Angeles
91606,34.185767,-118.388323,Burbank
91607,34.165783,-118.399795,Valley Village
91608,34.138761,-118.350933,Universal City
91701,34.137564,-117.599945,Rancho Cucamonga
91702,34.280333,-117.866141,Azusa
91706,34.097410,-117.968269,Baldwin Park
91708,33.952902,-117.639325,Chino
91709,33.963723,-117.738596,Chino Hills
91710,34.004468,-117.684697,Chino
91711,34.128066,-117.714773,Claremont
91722,34.097345,-117.906736,Covina
91723,34.084747,-117.886844,Covina
91724,34.080444,-117.854734,Covina
91730,34.100970,-117.578820,Rancho Cucamonga
91731,34.078573,-118.043456,El Monte
91732,34.073420,-118.015345,El Monte
91733,34.046243,-118.053748,South El Monte
91737,34.152583,-117.577707,Rancho Cucamonga
91739,34.172754,-117.521243,Rancho Cucamonga
91740,34.119367,-117.855054,Glendora
91741,34.156529,-117.841605,Glendora
91744,34.031415,-117.936470,La Puente
91745,33.999005,-117.972146,Hacienda Heights
91746,34.044416,-117.985366,La Puente
91748,33.974883,-117.900676,Rowland Heights
91750,34.180010,-117.773939,La Verne
91752,33.996484,-117.531269,Jurupa Valley
91754,34.052922,-118.143465,Monterey Park
91755,34.050965,-118.114394,Monterey Park
91759,34.263636,-117.699470,"Mount Baldy, California"
91761,34.035602,-117.591528,Ontario
91762,34.059410,-117.674011,Ontario
91763,34.072329,-117.698315,Montclair
91764,34.074087,-117.605618,Ontario
91765,33.986270,-117.821282,Diamond Bar
91766,34.042286,-117.756106,Pomona
91767,34.083086,-117.737997,Pomona
91768,34.063516,-117.790379,Pomona
91770,34.065493,-118.084529,Rosemead
91773,34.110186,-117.810390,San Dimas
91775,34.115273,-118.088266,San Gabriel
91776,34.090776,-118.095091,San Gabriel
91780,34.102077,-118.057754,Temple City
91784,34.141146,-117.655583,Upland
91786,34.105282,-117.662035,Upland
91789,34.018195,-117.854821,Walnut
91790,34.066964,-117.937007,West Covina
91791,34.061624,-117.892235,West Covina
91792,34.022581,-117.902359,West Covina
91801,34.090728,-118.127527,Alhambra
91803,34.074736,-118.145959,Alhambra
91901,32.808563,-116.710076,Alpine
91902,32.665762,-117.018657,Bonita
91905,32.678070,-116.306851,Boulevard
91906,32.654821,-116.465541,Campo
91910,32.637868,-117.058031,Chula Vista
91911,32.608185,-117.054512,Chula Vista
91913,32.619459,-116.985820,Chula Vista
91914,32.674004,-116.943932,Chula Vista
91915,32.623185,-116.949053,Chula Vista
91916,32.887989,-116.621354,Descanso
91917,32.608865,-116.719660,Dulzura
91931,32.846363,-116.557729,Guatay
91932,32.573755,-117.120872,Imperial Beach
91934,32.648992,-116.152565,Jacumba
91935,32.721919,-116.788204,Jamul
91941,32.759333,-116.997247,La Mesa
91942,32.777999,-117.021511,La Mesa
91945,32.733168,-117.034176,Lemon Grove
91948,32.866646,-116.448325,Julian
91950,32.670646,-117.094668,National City
91962,32.735124,-116.415161,Pine Valley
91963,32.626231,-116.610020,Potrero
91977,32.726237,-116.994318,Spring Valley
91978,32.724154,-116.940093,Spring Valley
91980,32.588866,-116.619172,Tecate
92003,33.285274,-117.197777,Bonsall
92004,33.142077,-116.106046,Borrego Springs
92007,33.023250,-117.274923,Cardiff-by-the-Sea
92008,33.147294,-117.322181,Carlsbad
92009,33.095470,-117.243882,Carlsbad
92010,33.158500,-117.277163,Carlsbad
92011,33.107582,-117.292182,Carlsbad
92014,32.963199,-117.250309,Del Mar
92019,32.776012,-116.880634,El Cajon
92020,32.795508,-116.969747,El Cajon
92021,32.838798,-116.869956,El Cajon
92024,33.056022,-117.259900,Encinitas
92025,33.102005,-117.080419,Escondido
92026,33.212444,-117.116098,Escondido
92027,33.131156,-116.976997,Escondido
92028,33.390477,-117.209427,Fallbrook
92029,33.082400,-117.127641,Escondido
92036,33.022474,-116.493688,Julian
92040,32.908915,-116.891975,Lakeside
92054,33.195534,-117.354538,Oceanside
92055,33.387723,-117.444758,Camp Pendleton South
92056,33.201242,-117.296984,Oceanside
92057,33.254619,-117.283341,Oceanside
92058,33.343438,-117.317250,Oceanside
92059,33.376467,-117.066121,Pala
92061,33.298504,-116.924783,Pauma Valley
92064,32.983606,-117.019035,Poway
92066,33.219365,-116.535247,Ranchita
92067,33.020908,-117.190346,Rancho Santa Fe
92069,33.170775,-117.158676,San Marcos
92070,33.147090,-116.717453,Santa Ysabel
92071,32.852358,-116.987842,Santee
92075,32.997248,-117.260580,Solana Beach
92078,33.117154,-117.180627,San Marcos
92081,33.164374,-117.240270,Vista
92082,33.253548,-117.003366,Valley Center
92083,33.197840,-117.248203,Vista
92084,33.219935,-117.202606,Vista
92086,33.323221,-116.665930,Warner Springs
92091,33.015927,-117.243517,Rancho Santa Fe
92101,32.724103,-117.170912,San Diego
92102,32.716220,-117.117057,San Diego
92103,32.747415,-117.166883,San Diego
92104,32.741501,-117.127948,San Diego
92105,32.737827,-117.092673,San Diego
92106,32.710818,-117.237613,San Diego
92107,32.739055,-117.245404,San Diego
92108,32.774046,-117.142454,San Diego
92109,32.786772,-117.234207,San Diego
92110,32.765244,-117.200391,San Diego
92111,32.806476,-117.168879,San Diego
92113,32.696716,-117.117881,San Diego
92114,32.707756,-117.055095,San Diego
92115,32.764998,-117.073641,San Diego
92116,32.764971,-117.123145,San Diego
92117,32.824572,-117.199518,San Diego
92118,32.699234,-117.209642,Coronado
92119,32.817888,-117.031956,San Diego
92120,32.794714,-117.071764,San Diego
92121,32.899592,-117.201203,San Diego
92122,32.861727,-117.171224,San Diego
92123,32.806794,-117.134930,San Diego
92124,32.823766,-117.092378,San Diego
92126,32.908449,-117.141380,San Diego
92127,33.011833,-117.132686,San Diego
92128,32.999818,-117.071808,San Diego
92129,32.966920,-117.126158,San Diego
92130,32.945791,-117.214366,San Diego
92131,32.886070,-117.085982,San Diego
92132,32.713608,-117.172089,San Diego
92134,32.724223,-117.146587,San Diego
92135,32.697543,-117.192775,San Diego
92139,32.679888,-117.048890,San Diego
92140,32.739496,-117.197401,San Diego
92145,32.930554,-117.008063,San Diego
92147,32.724880,-117.219962,San Diego
92154,32.557022,-117.006214,San Diego
92155,32.674984,-117.161726,San Diego
92173,32.553021,-117.042454,San Ysidro
92201,33.710984,-116.204844,Indio
92203,33.753959,-116.246487,Indio
92210,33.692217,-116.341248,Indian Wells
92211,33.765401,-116.334205,Palm Desert
92220,33.948948,-116.832362,Banning
92222,32.785826,-114.545506,Winterhaven
92223,33.948255,-116.987839,Beaumont
92225,33.736458,-114.687973,Blythe
92227,32.990121,-115.358757,Brawley
92230,33.910412,-116.765723,Cabazon
92231,32.687552,-115.541028,Calexico
92233,33.172881,-115.553769,Calipatria
92234,33.818256,-116.466743,Cathedral City
92236,33.686145,-116.172918,Coachella
92239,33.762149,-115.466100,Desert Center
92240,33.951540,-116.520104,Desert Hot Springs
92241,33.842584,-116.292900,Desert Hot Springs
92242,34.163216,-114.319121,Earp
92243,32.770197,-115.598590,El Centro
92249,32.725583,-115.472680,Heber
92250,32.777241,-115.127641,Holtville
92251,32.881449,-115.675459,Imperial
92252,34.168333,-116.288431,Joshua Tree
92253,33.641767,-116.273943,La Quinta
92254,33.543835,-115.993906,Mecca
92256,34.077059,-116.606626,Morongo Valley
92257,33.294274,-115.296227,Niland
92258,33.915839,-116.559873,North Palm Springs
92259,32.737705,-115.932200,Ocotillo
92260,33.708012,-116.403627,Palm Desert
92262,33.860925,-116.566176,Palm Springs
92264,33.708592,-116.497622,Palm Springs
92266,33.345027,-114.915942,Palo Verde
92267,34.273755,-114.196525,Parker Dam
92268,34.222079,-116.564222,Pioneertown
92270,33.768584,-116.429988,Rancho Mirage
92273,32.817225,-115.700076,Seeley
92274,33.460512,-116.084589,Thermal
92275,33.292095,-115.844166,Salton City
92276,33.822330,-116.364238,Thousand Palms
92277,34.141358,-115.621168,Twentynine Palms
92278,34.229973,-116.055053,Twentynine Palms
92280,34.112956,-114.633391,Vidal
92281,33.051757,-115.608752,Westmorland
92283,32.891546,-114.772943,Winterhaven
92284,34.185894,-116.432416,Yucca Valley
92285,34.340222,-116.540435,Landers
92301,34.585234,-117.453724,Adelanto
92304,34.541483,-115.644609,Amboy
92305,34.141671,-116.817981,Angelus Oaks
92307,34.571218,-117.133073,Apple Valley
92308,34.424366,-117.161295,Apple Valley
92309,35.332155,-116.038586,Baker
92310,35.261460,-116.690324,Fort Irwin
92311,34.980294,-116.964449,Barstow
92313,34.031011,-117.312929,Grand Terrace
92314,34.261092,-116.809496,Big Bear City
92315,34.232796,-116.902863,Big Bear Lake
92316,34.059306,-117.390768,Bloomington
92320,33.990372,-117.052255,Calimesa
92321,34.253816,-117.150891,Cedar Glen
92322,34.254361,-117.326453,Cedarpines Park
92324,34.024520,-117.289255,Colton
92325,34.243482,-117.281304,Crestline
92327,34.863585,-116.862059,Daggett
92332,34.912426,-115.342092,Essex
92333,34.270601,-116.949309,Fawnskin
92335,34.085972,-117.464597,Fontana
92336,34.147718,-117.464506,Fontana
92337,34.049809,-117.470613,Fontana
92338,34.782699,-116.190564,Ludlow
92339,34.093661,-116.936222,Forest Falls
92341,34.236643,-117.062838,Green Valley Lake
92342,34.757047,-117.350142,Helendale
92344,34.391145,-117.405722,Hesperia
92345,34.376159,-117.294397,Hesperia
92346,34.126779,-117.183104,Highland
92347,34.957406,-117.219606,Hinkley
92352,34.259971,-117.199381,Lake Arrowhead
92354,34.051177,-117.248563,Loma Linda
92356,34.510646,-116.896718,Lucerne Valley
92358,34.259272,-117.520971,Lytle Creek
92359,34.083016,-117.073317,Mentone
92363,34.894366,-114.640335,Needles
92364,35.340420,-115.426224,Nipton
92365,34.899991,-116.654532,Newberry Springs
92368,34.650629,-117.321326,Oro Grande
92371,34.442625,-117.541815,Phelan
92372,34.447894,-117.623946,Pinon Hills
92373,34.011953,-117.159699,Redlands
92374,34.067146,-117.171885,Redlands
92376,34.111605,-117.377406,Rialto
92377,34.157763,-117.405966,Rialto
92378,34.226083,-117.225931,Rimforest
92382,34.205287,-117.117403,Running Springs
92384,36.007706,-116.178478,Shoshone
92385,34.214740,-117.192326,Skyforest
92386,34.237229,-116.827695,Sugarloaf
92389,35.900961,-116.186357,Tecopa
92391,34.237898,-117.234788,Twin Peaks
92392,34.480247,-117.408184,Victorville
92394,34.556111,-117.353632,Victorville
92395,34.501472,-117.292048,Victorville
92397,34.374009,-117.628429,Wrightwood
92398,34.915880,-116.865561,Yermo
92399,34.032301,-117.010574,Yucaipa
92401,34.104794,-117.292150,San Bernardino
92404,34.177083,-117.254763,San Bernardino
92405,34.144618,-117.301301,San Bernardino
92407,34.212433,-117.381239,San Bernardino
92408,34.083458,-117.270016,San Bernardino
92410,34.107379,-117.297547,San Bernardino
92411,34.122501,-117.320138,San Bernardino
92501,33.995040,-117.373184,Riverside
92503,33.882579,-117.442303,Riverside
92504,33.903134,-117.398044,Riverside
92505,33.936193,-117.493881,Riverside
92506,33.934335,-117.367319,Riverside
92507,33.970847,-117.325120,Riverside
92508,33.891133,-117.326749,Riverside
92509,34.003266,-117.442004,Jurupa Valley
92530,33.649528,-117.376774,Lake Elsinore
92532,33.692673,-117.302957,Lake Elsinore
92536,33.492391,-116.837955,Aguanga
92539,33.527867,-116.647620,Anza
92543,33.667301,-116.963506,Hemet
92544,33.648169,-116.895308,Hemet
92545,33.729853,-117.034060,Hemet
92548,33.758663,-117.109484,Homeland
92551,33.882740,-117.224878,Moreno Valley
92553,33.923381,-117.244837,Moreno Valley
92555,33.889702,-117.113427,Moreno Valley
92557,33.972160,-117.258409,Moreno Valley
92561,33.637201,-116.627212,Mountain Center
92562,33.547613,-117.344040,Murrieta
92563,33.580016,-117.147360,Murrieta
92567,33.810743,-117.105415,Nuevo
92570,33.787292,-117.320673,Perris
92571,33.828396,-117.207660,Perris
92582,33.807607,-117.015163,San Jacinto
92583,33.795196,-116.932856,San Jacinto
92584,33.652675,-117.173568,Menifee
92585,33.746707,-117.172142,Menifee
92586,33.708982,-117.198853,Menifee
92587,33.694019,-117.250341,Menifee
92590,33.482811,-117.226126,Temecula
92591,33.535277,-117.104791,Temecula
92592,33.511228,-117.042396,Temecula
92595,33.617844,-117.259304,Wildomar
92596,33.665848,-117.049660,Winchester
92602,33.754048,-117.752273,Irvine
92603,33.624456,-117.781423,Irvine
92604,33.690715,-117.789224,Irvine
92606,33.705442,-117.823600,Irvine
92612,33.658440,-117.826009,Irvine
92614,33.680302,-117.833295,Irvine
92617,33.642512,-117.841688,Irvine
92618,33.666942,-117.732094,Irvine
92620,33.714796,-117.749139,Irvine
92624,33.451469,-117.659056,Capistrano Beach
92625,33.601966,-117.864254,Corona del Mar
92626,33.679591,-117.908531,Costa Mesa
92627,33.647763,-117.919761,Costa Mesa
92629,33.475120,-117.705675,Dana Point
92630,33.645736,-117.685503,Lake Forest
92637,33.612925,-117.731443,Laguna Woods
92646,33.662050,-117.968459,Huntington Beach
92647,33.723228,-118.008692,Huntington Beach
92648,33.679010,-118.014603,Huntington Beach
92649,33.725240,-118.051579,Huntington Beach
92651,33.570930,-117.773042,Laguna Beach
92653,33.591304,-117.697512,Laguna Hills
92655,33.745130,-117.984873,Midway City
92656,33.576212,-117.730368,Aliso Viejo
92660,33.634626,-117.874882,Newport Beach
92661,33.601984,-117.913001,Newport Beach
92662,33.605086,-117.892319,Newport Beach
92663,33.623208,-117.933903,Newport Beach
92672,33.424110,-117.606775,San Clemente
92673,33.467371,-117.613509,San Clemente
92675,33.501860,-117.608646,San Juan Capistrano
92676,33.752476,-117.612554,Silverado
92677,33.528868,-117.701175,Laguna Niguel
92678,33.680226,-117.526144,Trabuco Canyon
92679,33.606695,-117.604360,Trabuco Canyon
92683,33.752468,-117.993933,Westminster
92688,33.619672,-117.612087,Rancho Santa Margarita
92691,33.611945,-117.665867,Mission Viejo
92692,33.606497,-117.643112,Mission Viejo
92694,33.547238,-117.623761,Ladera Ranch
92701,33.748220,-117.858473,Santa Ana
92703,33.747155,-117.907326,Santa Ana
92704,33.721131,-117.905110,Santa Ana
92705,33.765639,-117.790075,Santa Ana
92706,33.765301,-117.881976,Santa Ana
92707,33.709935,-117.870431,Santa Ana
92708,33.710582,-117.951129,Fountain Valley
92780,33.734005,-117.819163,Tustin
92782,33.739709,-117.784703,Tustin
92801,33.844983,-117.952151,Anaheim
92802,33.808267,-117.923658,Anaheim
92804,33.818246,-117.974985,Anaheim
92805,33.830457,-117.905941,Anaheim
92806,33.837960,-117.870494,Anaheim
92807,33.848733,-117.788357,Anaheim
92808,33.856459,-117.740176,Anaheim
92821,33.927561,-117.887086,Brea
92831,33.879768,-117.896340,Fullerton
92832,33.868649,-117.929055,Fullerton
92833,33.879329,-117.961752,Fullerton
92835,33.901886,-117.916639,Fullerton
92840,33.787165,-117.931889,Garden Grove
92841,33.786846,-117.982020,Garden Grove
92843,33.763905,-117.931382,Garden Grove
92844,33.765471,-117.969504,Garden Grove
92845,33.783064,-118.026268,Garden Grove
92860,33.925519,-117.551958,Norco
92865,33.826393,-117.851307,Orange
92866,33.784615,-117.844774,Orange
92867,33.800980,-117.843772,Orange
92868,33.788145,-117.876550,Orange
92869,33.808450,-117.791737,Orange
92870,33.881158,-117.854783,Placentia
92879,33.882614,-117.528204,Corona
92880,33.925311,-117.607297,Corona
92881,33.827409,-117.524128,Corona
92882,33.840451,-117.601961,Corona
92883,33.748086,-117.468037,Corona
92886,33.896339,-117.796416,Yorba Linda
92887,33.885514,-117.730164,Yorba Linda
93001,34.037340,-119.800786,Ventura
93003,34.283668,-119.223196,Ventura
93004,34.278679,-119.165615,Ventura
93010,34.227892,-119.079552,Camarillo
93012,34.196026,-118.992531,Camarillo
